Episode 1/500, total reward: 1.9335740072206136
Episode 2/500, total reward: -47.41358885017442
Episode 3/500, total reward: -0.032775919732786124
Episode 4/500, total reward: 76.30322580645307
Episode 5/500, total reward: 27.268493150684492
Episode 6/500, total reward: -0.052287581699500096
Episode 7/500, total reward: 6.1459074733094905
Episode 8/500, total reward: -0.0439560439562687
Episode 9/500, total reward: 46.098293515357994
Episode 10/500, total reward: -0.008805031446543071
Episode 11/500, total reward: 40.00588235294076
Episode 12/500, total reward: 13.420689655171888
Episode 13/500, total reward: 74.298470948014
Episode 14/500, total reward: 27.324840764330865
Episode 15/500, total reward: 78.47517730496587
Episode 16/500, total reward: 22.545945945945327
Episode 17/500, total reward: 18.538047138046856
Episode 18/500, total reward: 35.44444444444402
Episode 19/500, total reward: 44.66849315068472
Episode 20/500, total reward: 24.282051282050965
Episode 21/500, total reward: 24.31486068111502
Episode 22/500, total reward: 27.08189910979182
Episode 23/500, total reward: 26.553956834532016
Episode 24/500, total reward: 29.092651757188072
Episode 25/500, total reward: 11.045637583892574
Episode 26/500, total reward: 36.872354948805054
Episode 27/500, total reward: 145.740740740745
Episode 28/500, total reward: -0.10072992700729044
Episode 29/500, total reward: -0.0476190476190432
Episode 30/500, total reward: 20.995620437956052
Episode 31/500, total reward: 32.745098039215314
Episode 32/500, total reward: -0.1841269841274166
Episode 33/500, total reward: 16.257971014493137
Episode 34/500, total reward: 96.98421052631875
Episode 35/500, total reward: 49.88421052631559
Episode 36/500, total reward: -0.12173913043503826
Episode 37/500, total reward: 4.596491228070056
Episode 38/500, total reward: 8.52222222222215
Episode 39/500, total reward: 2.4588235294117986
Episode 40/500, total reward: 33.12198581560251
Episode 41/500, total reward: 104.21095890411115
Episode 42/500, total reward: 148.21379310344898
Episode 43/500, total reward: 59.88275862069305
Episode 44/500, total reward: -0.18245614035086946
Episode 45/500, total reward: 82.6323624595479
Episode 46/500, total reward: 44.33639143730864
Episode 47/500, total reward: 2.742084942084982
Episode 48/500, total reward: -0.13515358361770569
Episode 49/500, total reward: -0.18245614035086946
Episode 50/500, total reward: 0.038297872340446265
Episode 51/500, total reward: 45.54515050167204
Episode 52/500, total reward: 83.78904109589136
Episode 53/500, total reward: 60.9814569536427
Episode 54/500, total reward: 3.5368421052632093
Episode 55/500, total reward: 172.98795180723232
Episode 56/500, total reward: 115.32989690721763
Episode 57/500, total reward: -0.11103678929765215
Episode 58/500, total reward: 61.142857142857444
Episode 59/500, total reward: 259.48404669260344
Episode 60/500, total reward: -0.1093632958801406
Episode 61/500, total reward: 213.77894736842248
Episode 62/500, total reward: 88.46301369863114
Episode 63/500, total reward: 155.89517684887542
Episode 64/500, total reward: 176.99682539682706
Episode 65/500, total reward: 55.90759075907574
Episode 66/500, total reward: 113.5509727626474
Episode 67/500, total reward: 45.46369426751566
Episode 68/500, total reward: 184.35424836601445
Episode 69/500, total reward: -0.008049535603709773
Episode 70/500, total reward: 18.143820224718844
Episode 71/500, total reward: 264.7684210526267
Episode 72/500, total reward: 234.47878787878992
Episode 73/500, total reward: -0.12727272727271866
Episode 74/500, total reward: 35.869798657717745
Episode 75/500, total reward: 102.133333333335
Episode 76/500, total reward: 268.53103448274993
Episode 77/500, total reward: 42.316129032257805
Episode 78/500, total reward: 17.846153846153694
Episode 79/500, total reward: 95.099616858238
Episode 80/500, total reward: 330.98227848100925
Episode 81/500, total reward: 181.41660649819636
Episode 82/500, total reward: 116.7393939393948
Episode 83/500, total reward: 39.48275862069276
Episode 84/500, total reward: 86.71052631579013
Episode 85/500, total reward: 89.74482758620756
Episode 86/500, total reward: 154.43418803418913
Episode 87/500, total reward: 196.2107382550354
Episode 88/500, total reward: 87.67912087912221
Episode 89/500, total reward: 101.29283276450606
Episode 90/500, total reward: 59.61643835616469
Episode 91/500, total reward: -0.08534201954396736
Episode 92/500, total reward: 158.12631578947628
Episode 93/500, total reward: 68.00759493670935
Episode 94/500, total reward: 191.37241379310618
Episode 95/500, total reward: 166.74619883041092
Episode 96/500, total reward: -0.1304347826086879
Episode 97/500, total reward: 83.85704467354016
Episode 98/500, total reward: 99.38294573643516
Episode 99/500, total reward: 107.57234726688483
Episode 100/500, total reward: 41.581208053690936
Episode 101/500, total reward: 91.2038216560519
Episode 102/500, total reward: 141.65112781955054
Episode 103/500, total reward: 1.1207547169811565
Episode 104/500, total reward: -0.08120300751878706
Episode 105/500, total reward: 48.21958041958014
Episode 106/500, total reward: 83.90434782608912
Episode 107/500, total reward: 143.1191919191938
Episode 108/500, total reward: 76.40000000000084
Episode 109/500, total reward: 16.56503496503477
Episode 110/500, total reward: 120.93261648745624
Episode 111/500, total reward: 71.95402298850625
Episode 112/500, total reward: 35.18281786941563
Episode 113/500, total reward: 85.71428571428798
Episode 114/500, total reward: 86.25490196078668
Episode 115/500, total reward: 21.963636363636223
Episode 116/500, total reward: 131.33284671532968
Episode 117/500, total reward: 75.94602076124646
Episode 118/500, total reward: 115.39527559055189
Episode 119/500, total reward: 127.17777777778014
Episode 120/500, total reward: 105.37704918033022
Episode 121/500, total reward: 62.94037267080946
Episode 122/500, total reward: 85.69825783972186
Episode 123/500, total reward: 68.60000000000068
Episode 124/500, total reward: 96.25442176870872
Episode 125/500, total reward: 64.15652173913108
Episode 126/500, total reward: 50.44313725490349
Episode 127/500, total reward: 98.62818791946438
Episode 128/500, total reward: 45.07169811320723
Episode 129/500, total reward: 66.63750000000384
Episode 130/500, total reward: 47.967741935483645
Episode 131/500, total reward: 73.7818181818187
Episode 132/500, total reward: 22.221768707482894
Episode 133/500, total reward: 34.63344947735161
Episode 134/500, total reward: 77.49825783972253
Episode 135/500, total reward: 34.37142857142836
Episode 136/500, total reward: 22.126684636118405
Episode 137/500, total reward: 61.965432098765795
Episode 138/500, total reward: -0.08256227758006252
Episode 139/500, total reward: 39.69999999999979
Episode 140/500, total reward: 267.7118644067763
Episode 141/500, total reward: 76.23687943262496
Episode 142/500, total reward: 7.7323943661970045
Episode 143/500, total reward: 10.068551236749101
Episode 144/500, total reward: 45.88148148148104
Episode 145/500, total reward: 14.116723549487931
Episode 146/500, total reward: 9.103754266211565
Episode 147/500, total reward: 28.146391752577053
Episode 148/500, total reward: 78.26060606060699
Episode 149/500, total reward: 112.2144404332139
Episode 150/500, total reward: 14.152647975077782
Episode 151/500, total reward: 48.82857142857116
Episode 152/500, total reward: 17.68823529411749
Episode 153/500, total reward: 100.87844522968513
Episode 154/500, total reward: 15.783783783783667
Episode 155/500, total reward: 16.57894736842091
Episode 156/500, total reward: 73.29314079422484
Episode 157/500, total reward: -0.12750809061488033
Episode 158/500, total reward: 12.637383177570012
Episode 159/500, total reward: 35.347619047618835
Episode 160/500, total reward: 62.33333333333365
Episode 161/500, total reward: 270.8434163701046
Episode 162/500, total reward: -0.12714776632301705
Episode 163/500, total reward: 41.06849315068466
Episode 164/500, total reward: 132.70226537217073
Episode 165/500, total reward: 102.80540540540737
Episode 166/500, total reward: -0.19999999999998833
Episode 167/500, total reward: 224.21342281879524
Episode 168/500, total reward: -0.027160493827155657
Episode 169/500, total reward: 90.4756183745599
Episode 170/500, total reward: 124.2484641638238
Episode 171/500, total reward: 40.05168539325808
Episode 172/500, total reward: 62.38907849829463
Episode 173/500, total reward: 13.745907473309368
Episode 174/500, total reward: 74.34646840148866
Episode 175/500, total reward: 32.833449477351664
Episode 176/500, total reward: 167.16769759450418
Episode 177/500, total reward: 52.89552238805953
Episode 178/500, total reward: 133.21201413427718
Episode 179/500, total reward: 6.0923076923076565
Episode 180/500, total reward: 180.84210526315982
Episode 181/500, total reward: 11.726213592232968
Episode 182/500, total reward: 31.914285714285413
Episode 183/500, total reward: 65.01052631578989
Episode 184/500, total reward: 64.4324909747296
Episode 185/500, total reward: 33.1028753993607
Episode 186/500, total reward: 53.93731343283546
Episode 187/500, total reward: -0.10072992700729044
Episode 188/500, total reward: 6.3970802919707435
Episode 189/500, total reward: 30.924999999999777
