Episode 1/500, total reward: -0.1130434782613744
Episode 2/500, total reward: 41.786440677965714
Episode 3/500, total reward: 108.59437751004208
Episode 4/500, total reward: 30.059934853419996
Episode 5/500, total reward: 97.4588235294141
Episode 6/500, total reward: 51.8611111111112
Episode 7/500, total reward: 36.68373702422125
Episode 8/500, total reward: -0.1523219814243785
Episode 9/500, total reward: 19.25454545454516
Episode 10/500, total reward: 65.8964028777007
Episode 11/500, total reward: 81.41320132013391
Episode 12/500, total reward: -0.02033898305084067
Episode 13/500, total reward: 1.2263157894737269
Episode 14/500, total reward: -0.1634069400630548
Episode 15/500, total reward: -0.12173913043478246
Episode 16/500, total reward: 141.6304093567275
Episode 17/500, total reward: 71.43809523809587
Episode 18/500, total reward: 10.309677419354623
Episode 19/500, total reward: 22.556043956043723
Episode 20/500, total reward: 21.57993527508055
Episode 21/500, total reward: 141.114619883042
Episode 22/500, total reward: 7.012578616352229
Episode 23/500, total reward: 39.098293515357916
Episode 24/500, total reward: 46.5559322033894
Episode 25/500, total reward: 5.2571428571427745
Episode 26/500, total reward: 32.431578947368195
Episode 27/500, total reward: 45.76104868913829
Episode 28/500, total reward: 183.69830508474794
Episode 29/500, total reward: -0.1321554770317569
Episode 30/500, total reward: 2.6666666666661003
Episode 31/500, total reward: 18.744850498338707
Episode 32/500, total reward: 15.314465408804642
Episode 33/500, total reward: 16.025165562913237
Episode 34/500, total reward: 31.400630914826074
Episode 35/500, total reward: 74.87042253521184
Episode 36/500, total reward: 89.04592145015228
Episode 37/500, total reward: 48.41661721068227
Episode 38/500, total reward: 37.01481481481449
Episode 39/500, total reward: 42.25505226480814
Episode 40/500, total reward: -0.08120300751878706
Episode 41/500, total reward: 82.88221343873592
Episode 42/500, total reward: 28.37670682730907
Episode 43/500, total reward: 50.55498392282941
Episode 44/500, total reward: 44.15214723926354
Episode 45/500, total reward: 76.53774834437145
Episode 46/500, total reward: 32.51726384364801
Episode 47/500, total reward: 92.14212454212587
Episode 48/500, total reward: 47.71666666666636
Episode 49/500, total reward: 183.6613496932526
Episode 50/500, total reward: 60.073003802283424
Episode 51/500, total reward: 253.85913621261847
Episode 52/500, total reward: 69.5768595041327
Episode 53/500, total reward: 41.90149253731328
Episode 54/500, total reward: 40.25454545454514
Episode 55/500, total reward: 44.88915662650574
Episode 56/500, total reward: 149.73898305084975
Episode 57/500, total reward: 9.690909090908399
Episode 58/500, total reward: 43.483687943262225
Episode 59/500, total reward: 49.970370370370134
Episode 60/500, total reward: 41.1118012422358
Episode 61/500, total reward: 26.732947976878393
Episode 62/500, total reward: 39.05567010309258
Episode 63/500, total reward: 43.38644067796575
Episode 64/500, total reward: -0.10780141843970859
Episode 65/500, total reward: 254.868493150681
Episode 66/500, total reward: 170.77346278317296
Episode 67/500, total reward: 32.31446540880487
Episode 68/500, total reward: 29.405940594059025
Episode 69/500, total reward: 3.5058823529412133
Episode 70/500, total reward: 184.64300341297098
Episode 71/500, total reward: 38.19999999999975
Episode 72/500, total reward: 98.70726643598681
Episode 73/500, total reward: 2.545454545454581
Episode 74/500, total reward: 242.14676258992694
Episode 75/500, total reward: 35.029787234042246
Episode 76/500, total reward: 71.0309963099641
Episode 77/500, total reward: -0.19999999999998122
Episode 78/500, total reward: 19.483660130718825
Episode 79/500, total reward: -0.15774647887323093
Episode 80/500, total reward: 310.4595469255634
Episode 81/500, total reward: 9.297810218978107
Episode 82/500, total reward: 92.42392026578322
Episode 83/500, total reward: 10.399999999999983
Episode 84/500, total reward: 56.61975308641979
Episode 85/500, total reward: -0.1470383275261128
Episode 86/500, total reward: 44.4335664335662
Episode 87/500, total reward: 256.8183150183113
Episode 88/500, total reward: 39.649122807017356
Episode 89/500, total reward: 31.37986577181192
Episode 90/500, total reward: -0.194557823129221
Episode 91/500, total reward: -0.07958477508649708
Episode 92/500, total reward: 225.22457337884134
Episode 93/500, total reward: 32.22352941176443
Episode 94/500, total reward: 198.86524822695287
Episode 95/500, total reward: 75.6776119402995
Episode 96/500, total reward: 117.5900709219867
Episode 97/500, total reward: 89.73113553113755
Episode 98/500, total reward: 105.90218068535914
Episode 99/500, total reward: -0.10724637681155935
Episode 100/500, total reward: 104.38181818181937
Episode 101/500, total reward: 92.63678160919643
Episode 102/500, total reward: 16.20415224913434
Episode 103/500, total reward: 109.4849315068506
Episode 104/500, total reward: 93.94850299401287
Episode 105/500, total reward: 32.69426751592326
Episode 106/500, total reward: 18.83061889250799
Episode 107/500, total reward: 26.1580419580418
Episode 108/500, total reward: 59.17320872274154
Episode 109/500, total reward: 324.68148148147844
Episode 110/500, total reward: 1.3402214022140684
Episode 111/500, total reward: -0.09072164948451733
Episode 112/500, total reward: -0.12727272727271866
Episode 113/500, total reward: 245.28167202571956
Episode 114/500, total reward: 88.62105263157972
Episode 115/500, total reward: 24.60282685512348
Episode 116/500, total reward: 181.59574468085538
Episode 117/500, total reward: 13.589297658862682
Episode 118/500, total reward: 14.385209003215218
Episode 119/500, total reward: -0.07088607594936147
Episode 120/500, total reward: 89.94320987654439
Episode 121/500, total reward: 119.86229508196803
Episode 122/500, total reward: 20.81496598639442
Episode 123/500, total reward: 93.05714285714355
Episode 124/500, total reward: 99.73333333333373
Episode 125/500, total reward: 237.9197080291989
Episode 126/500, total reward: 1.8337662337662755
Episode 127/500, total reward: 181.8944444444465
Episode 128/500, total reward: 150.25633802816995
Episode 129/500, total reward: 42.137062937062716
Episode 130/500, total reward: 264.0604810996552
Episode 131/500, total reward: 128.99354838709826
Episode 132/500, total reward: 24.39040590405888
Episode 133/500, total reward: 79.28474576271255
Episode 134/500, total reward: 204.9105263157909
Episode 135/500, total reward: 19.70462633451934
Episode 136/500, total reward: 98.08169014084606
Episode 137/500, total reward: 97.24802867383609
Episode 138/500, total reward: 15.649999999999853
Episode 139/500, total reward: 242.79264214047342
Episode 140/500, total reward: 124.17446808510752
Episode 141/500, total reward: 57.254752851711785
Episode 142/500, total reward: 63.976109215017495
Episode 143/500, total reward: 83.46384364820936
Episode 144/500, total reward: 73.46349206349255
