Episode 1/100, total reward: -0.18244514106571832
Episode 2/100, total reward: -0.07340823970032528
Episode 3/100, total reward: -0.04414715719056625
Episode 4/100, total reward: -0.10810810810806581
Episode 5/100, total reward: -0.1499999999999947
Episode 6/100, total reward: -0.16109215017063563
Episode 7/100, total reward: -0.01951219512219035
Episode 8/100, total reward: -0.16641221374044748
Episode 9/100, total reward: -0.19999999999998122
Episode 10/100, total reward: -0.030508474576264016
Episode 11/100, total reward: -0.04210526315787197
Episode 12/100, total reward: -0.12024539877319074
Episode 13/100, total reward: -0.18518518518516883
Episode 14/100, total reward: -0.0029197080291105404
Episode 15/100, total reward: -0.059740259740251433
Episode 16/100, total reward: -0.01879194630933087
Episode 17/100, total reward: -0.16404494382021775
Episode 18/100, total reward: -0.1959183673469204
Episode 19/100, total reward: -0.12229299363050006
Episode 20/100, total reward: -0.07619047619046726
Episode 21/100, total reward: -0.05396825396816429
Episode 22/100, total reward: -0.10243902439023922
Episode 23/100, total reward: -0.12958801498129235
Episode 24/100, total reward: -0.10199430199429893
Episode 25/100, total reward: -0.1333333333332899
Episode 26/100, total reward: -0.18333333333331994
Episode 27/100, total reward: -0.07671232876707923
Episode 28/100, total reward: -0.15916955017300052
Episode 29/100, total reward: -0.12714776632301705
Episode 30/100, total reward: -0.06451612903215787
Episode 31/100, total reward: -0.18773006134965056
Episode 32/100, total reward: -0.062190812721067745
Episode 33/100, total reward: -0.03322259136211178
Episode 34/100, total reward: -0.08455284552845055
Episode 35/100, total reward: -0.16611295681078855
Episode 36/100, total reward: -0.048101265822723976
Episode 37/100, total reward: -0.12781954887244462
Episode 38/100, total reward: -0.14524495677231075
Episode 39/100, total reward: -0.0046511627913077
Episode 40/100, total reward: 1.7741935483867093
Episode 41/100, total reward: -0.03135888501741421
Episode 42/100, total reward: -0.024242424242442356
Episode 43/100, total reward: 23.953956834532036
Episode 44/100, total reward: -0.13157894736840314
Episode 45/100, total reward: -0.015037593985895742
Episode 46/100, total reward: -0.15862068965513001
Episode 47/100, total reward: 9.674999999999955
Episode 48/100, total reward: -0.1333333333336345
Episode 49/100, total reward: -0.19191919191991116
Episode 50/100, total reward: -0.14098360655727904
Episode 51/100, total reward: -0.06564885496176953
Episode 52/100, total reward: -0.07194244604394595
Episode 53/100, total reward: -0.05594405594422125
Episode 54/100, total reward: -0.05423728813545492
Episode 55/100, total reward: -0.13655589123866607
Episode 56/100, total reward: -0.11241830065362957
Episode 57/100, total reward: -0.19933554817301027
Episode 58/100, total reward: 5.323624595468605
Episode 59/100, total reward: -0.1729729729729105
Episode 60/100, total reward: -0.17647058823561826
Episode 61/100, total reward: -0.025622775801310754
Episode 62/100, total reward: -0.175510204081769
Episode 63/100, total reward: -0.19047619047612555
Episode 64/100, total reward: -0.02535211267602408
Episode 65/100, total reward: -0.0562300319488902
Episode 66/100, total reward: -0.09891696750903844
Episode 67/100, total reward: -0.10860927152342692
Episode 68/100, total reward: -0.024148606811111167
Episode 69/100, total reward: -0.06431095406350207
Episode 70/100, total reward: -0.12616487455188585
Episode 71/100, total reward: -0.05000000000022031
Episode 72/100, total reward: -0.19047619047616018
Episode 73/100, total reward: -0.01052631578948146
Episode 74/100, total reward: -0.015789473684155925
Episode 75/100, total reward: -0.0996677740863181
Episode 76/100, total reward: -0.13935018050536707
Episode 77/100, total reward: -0.1333333333332899
Episode 78/100, total reward: -0.08235294117638614
Episode 79/100, total reward: -0.19797979797974433
Episode 80/100, total reward: -0.07323943661965981
Episode 81/100, total reward: -0.0012944983817686218
Episode 82/100, total reward: -0.06486486486485554
Episode 83/100, total reward: -0.025278810408857683
Episode 84/100, total reward: -0.18596491228056392
Episode 85/100, total reward: -0.19603960396027956
Episode 86/100, total reward: -0.08813559322031428
Episode 87/100, total reward: -0.025559105431287338
Episode 88/100, total reward: -0.08070175438638683
Episode 89/100, total reward: -0.09898989898987876
Episode 90/100, total reward: -0.06486486486484933
Episode 91/100, total reward: -0.11207430340556945
Episode 92/100, total reward: -0.10859106529202445
Episode 93/100, total reward: -0.0973180076629323
Episode 94/100, total reward: -0.06501766784448759
Episode 95/100, total reward: -0.017869415807546057
Episode 96/100, total reward: -0.06486486486484577
Episode 97/100, total reward: -0.05517241379308335
Episode 98/100, total reward: -0.17978339350179665
Episode 99/100, total reward: -0.05514950166104815
Episode 100/100, total reward: -0.04210526315788529
