#{"t_start": 1679052708.6405723, "env_id": "CarRacing-v0"}
r,l,t
-19.230769,1000,48.406698
-14.191419,1000,97.372616
-29.292929,1000,147.295703
-37.28223,1000,195.853003
-56.175299,1000,248.086566
128.373702,1000,300.902801
118.430034,1000,352.947268
187.128713,1000,403.78594
11.111111,1000,455.801572
296.153846,1000,508.249163
203.754266,1000,563.031618
202.583026,1000,615.765978
-19.463087,1000,669.595015
278.787879,1000,721.68072
397.942387,1000,774.74745
217.406143,1000,828.543196
247.222222,1000,881.276298
154.612546,1000,934.310328
621.311475,1000,988.365977
424.429967,1000,1041.992201
275.0,1000,1095.568065
513.240418,1000,1143.913355
-11.47541,1000,1197.797216
448.507463,1000,1251.345315
352.380952,1000,1309.990163
616.262976,1000,1363.943913
394.623656,1000,1418.011278
689.667897,1000,1471.393143
44.404332,1000,1524.063997
70.648464,1000,1576.444491
480.985915,1000,1629.411273
252.739726,1000,1683.551535
108.469055,1000,1736.776351
512.37785,1000,1789.725605
412.738854,1000,1842.700729
611.743772,1000,1896.524935
547.940075,1000,1963.091136
342.567568,1000,2037.157827
93.133047,1000,2112.63382
330.555556,1000,2189.123109
321.404682,1000,2265.736569
465.068493,1000,2334.560209
416.129032,1000,2385.355786
461.514196,1000,2441.516328
230.798479,1000,2498.994758
608.333333,1000,2556.531967
404.792332,1000,2613.967256
315.492958,1000,2670.901573
22.371587,364,2693.784985
716.513761,1000,2748.91422
349.838188,1000,2805.047401
605.084746,1000,2861.946183
446.712803,1000,2919.305128
466.666667,1000,2976.994113
843.396226,1000,3033.145502
381.355932,1000,3089.575629
396.91358,1000,3147.868706
732.214765,1000,3205.670938
911.7,883,3250.941956
473.065903,1000,3309.152991
571.378092,1000,3366.737379
306.060606,1000,3424.986631
738.283828,1000,3482.732098
382.315113,1000,3539.49999
834.707904,1000,3595.781029
637.931034,1000,3653.704998
56.133829,1000,3709.370467
538.436482,1000,3765.765973
828.327645,1000,3823.75448
885.130112,1000,3879.767902
735.962145,1000,3936.757913
856.363636,1000,3993.147563
860.13289,1000,4049.834806
556.346749,1000,4113.412338
869.811321,1000,4165.657237
460.810811,1000,4211.826058
858.188153,1000,4260.032378
566.666667,1000,4305.675757
808.77193,1000,4353.762694
737.209302,1000,4399.642593
828.104575,1000,4446.18291
477.777778,1000,4491.426259
850.464396,1000,4536.051628
649.152542,1000,4581.797694
926.2,738,4618.567812
575.373134,1000,4659.050047
467.765568,1000,4703.713377
877.777778,1000,4749.541355
831.29771,1000,4794.734331
929.9,701,4828.930888
540.449438,1000,4875.083917
846.996466,1000,4921.539276
854.545455,1000,4966.857733
842.238267,1000,5015.321288
870.479705,1000,5056.938832
719.494585,1000,5101.093297
496.774194,1000,5146.081129
929.3,707,5180.599644
892.857143,1000,5224.41524
876.271186,1000,5269.934215
741.423948,1000,5314.745033
787.272727,1000,5359.724422
881.617647,1000,5404.669416
296.12459,925,5442.559849
594.545455,1000,5487.30397
929.0,710,5521.545313
837.931034,1000,5567.619847
853.020134,1000,5612.816916
326.512968,1000,5657.182619
876.027397,1000,5696.414785
826.056338,1000,5740.408545
834.42623,1000,5785.518367
616.981132,1000,5831.400628
22.516556,1000,5876.247994
840.350877,1000,5924.404078
661.46789,1000,5971.054273
843.060498,1000,6017.685326
860.0,1000,6064.814884
527.062706,1000,6114.130051
811.262799,1000,6163.315401
794.160584,1000,6211.265203
822.818792,1000,6258.373031
869.811321,1000,6307.783695
718.181818,1000,6354.669558
892.424242,1000,6401.489527
721.656051,1000,6447.884422
836.241611,1000,6495.834655
