#{"t_start": 1679041556.129523, "env_id": "CarRacing-v0"}
r,l,t
-168.144147,950,39.186374
-1.694915,1000,78.596318
100.0,1000,123.813865
26.712329,1000,166.642548
41.868512,1000,209.372017
136.363636,1000,253.834898
73.333333,1000,296.702063
-1.639344,1000,345.534266
273.188406,1000,401.564485
157.142857,1000,448.71394
88.461538,1000,495.378844
-12.052117,1000,540.435055
79.661017,1000,584.633565
100.716846,1000,630.163268
41.509434,1000,678.537973
-25.170068,1000,726.315038
72.932331,1000,771.819946
135.849057,1000,817.369638
230.0,1000,863.833628
-7.894737,1000,906.071023
380.144404,1000,952.117049
-3.225806,1000,1000.760992
277.358491,1000,1047.736016
105.298013,1000,1094.054494
237.883959,1000,1138.749607
76.470588,1000,1184.922182
17.834395,1000,1229.425032
6.451613,1000,1273.291395
-36.666667,1000,1320.533515
-92.222222,701,1349.937322
273.584906,1000,1393.628184
235.740072,1000,1439.35279
6.796117,1000,1483.159118
12.582781,1000,1530.723403
59.574468,1000,1579.105499
489.928058,1000,1627.09792
93.877551,1000,1675.210473
162.548263,1000,1723.566992
146.91358,1000,1773.027783
476.923077,1000,1819.422976
163.537906,1000,1865.161929
422.875817,1000,1910.659024
84.397163,1000,1955.248479
664.705882,1000,2000.208852
380.144404,1000,2045.505942
422.38806,1000,2092.646655
213.993174,1000,2139.94717
268.613139,1000,2186.282568
50.877193,1000,2232.829413
13.268608,1000,2274.051522
332.098765,1000,2321.499984
246.020761,1000,2368.952518
276.712329,1000,2416.951208
263.636364,1000,2461.655952
225.949367,1000,2507.807264
64.42953,1000,2554.8076
375.0,1000,2601.68929
13.074205,1000,2648.625538
345.402299,1000,2695.268639
261.774744,1000,2741.707852
227.217125,1000,2787.976825
661.403509,1000,2832.58045
121.843003,1000,2877.754189
226.315789,1000,2923.559207
214.606742,1000,2968.33999
356.666667,1000,3013.620605
239.506173,1000,3059.380724
409.960159,1000,3103.84051
144.444444,1000,3150.965055
253.135314,1000,3198.47563
153.82263,1000,3240.062251
324.242424,1000,3288.393538
337.5,1000,3339.509708
311.042945,1000,3390.494257
404.854369,1000,3440.731074
522.580645,1000,3492.464837
318.118467,1000,3544.206006
389.43662,1000,3595.146554
92.913386,1000,3642.965475
135.099338,1000,3692.358881
265.591398,1000,3748.454382
-37.446075,570,3778.143445
80.645161,1000,3831.623995
62.576687,1000,3885.03358
559.574468,1000,3939.522024
236.666667,1000,3995.696631
243.283582,1000,4051.571766
140.384615,1000,4107.926428
283.386581,1000,4164.660288
189.655172,1000,4221.719778
60.583942,1000,4277.232326
97.132616,1000,4333.74777
178.481013,1000,4390.725405
206.25,1000,4445.891175
494.936709,1000,4499.95906
220.132013,1000,4549.765049
195.918367,1000,4605.421266
375.352113,1000,4661.390193
123.580142,673,4702.246258
202.931596,1000,4758.091122
173.972603,1000,4814.137228
